,commentNum,uid,rankDate,nri,followerNum,name,followerNumInc,type,rankPosition,repostNum,likeNum,opusNum,huoshanFansNum,originalMusicBeUsedNum,toutiaoFansNum,followingNum,originalMusicNum,likeOpusNum,likeNum.1,fansTotal,douyinFansNum,dynamicNum,opusNum.1
36,412,98787646259,2019-01-13,769.0,531484,36,54413,Entertainment,0,128,63824,2,0,0,4886,26,0,124,4223288,788483,783597,83,83
37,1311,107947659525,2019-01-13,766.1,413014,37,15685,Entertainment,0,270,43462,4,0,0,12773,33,0,129,24448682,975960,963187,257,257
38,206,78166798653,2019-01-13,763.7,629819,38,9175,Entertainment,0,1025,10003,1,0,238,0,81,3,31,2539466,777571,777571,71,71
39,681,91671639555,2019-01-13,762.0,1337080,39,2876,Entertainment,0,316,15019,1,0,0,32083,0,0,48,16771681,1603220,1571137,315,303
40,1108,99123864656,2019-01-13,761.3,749838,40,6091,Entertainment,0,170,108472,2,0,0,1193,18,0,382,24864476,873718,872525,532,391
41,1834,104414410009,2019-01-13,759.9,280013,41,1009,Entertainment,0,3235,120515,8,0,0,0,43,0,863,18459103,614099,614099,506,506
42,786,52174495549,2019-01-13,759.1,407368,42,10271,Entertainment,0,454,25728,8,9541,0,42895,67,0,354,16182786,627471,575035,1615,1610
43,721,101562160976,2019-01-13,759.0,1425160,43,7487,Entertainment,0,72,37658,1,0,0,24316,0,0,11,13185280,1717274,1692958,149,146
44,2750,96352051086,2019-01-13,757.8,220476,44,2012,Entertainment,0,2253,33567,4,0,0,0,4,0,1732,5838223,259042,259042,1646,1646
45,2841,87843470412,2019-01-13,752.2,167655,45,8512,Entertainment,0,659,25825,2,0,0,85244,1619,0,11784,1267941,330003,244759,147,147
46,3054,60102802564,2019-01-13,752.0,235505,46,916,Entertainment,0,1995,155891,5,0,0,0,113,0,6672,4992885,233547,233547,126,126
47,1099,105679233905,2019-01-13,750.0,225395,47,1859,Entertainment,0,2891,30948,3,1478,0,8591,5,0,41,9940005,456479,446410,272,272
48,811,57981675135,2019-01-13,747.0,343630,48,2923,Entertainment,0,792,65540,1,2,0,434,206,0,951,4212167,530944,530508,51,50
49,510,69920000632,2019-01-13,744.8,458714,49,7675,Entertainment,0,337,14020,2,118810,310995,23702,112,77,830,814577,687523,545011,248,181
50,8145,58047835859,2019-01-13,967.8,29228504,50,75905,Celebrity,1,1876,702146,1,944,126349,239203,41,3,2209,179152240,31550299,31310152,147,145
51,11079,95288113243,2019-01-13,955.6,7518965,51,153878,Celebrity,1,4586,1165634,1,0,0,0,59,0,76,34463836,7964621,7964621,70,64
52,1006,98085685462,2019-01-13,903.3,8376860,52,21781,Celebrity,1,3137,182645,1,77519,0,35680,30,0,1969,45276122,9346897,9233698,167,160
53,3715,92227221021,2019-01-13,892.7,1077412,53,127515,Celebrity,1,3845,596183,1,0,0,12466,49,0,242,13879702,1871218,1858752,41,40
54,3750,100669369828,2019-01-13,871.4,2854145,54,67435,Celebrity,1,569,35448,1,0,0,0,27,0,637,26932780,4634684,4634684,89,73
55,4326,63621393588,2019-01-13,869.6,2193299,55,16868,Celebrity,1,2140,241921,2,0,0,0,275,0,4883,22675214,2332834,2332834,129,129
56,2577,59819619841,2019-01-13,867.2,4511248,56,11434,Celebrity,1,1356,55051,1,161,0,19932,519,0,3823,34791793,6301671,6281578,201,176
57,3572,59174715782,2019-01-13,839.1,5823916,57,8674,Celebrity,1,151,113335,1,73,0,27784,213,0,587,72743382,6436948,6409091,309,309
58,1466,53966458913,2019-01-13,837.8,2060083,58,57211,Celebrity,1,268,72455,2,0,0,0,28,0,661,19619442,2587969,2587969,80,80
59,1371,64164086803,2019-01-13,832.8,1119473,59,25989,Celebrity,1,1093,131869,1,3,0,832,186,0,856,10274140,1549654,1548819,47,46
60,4427,16539555806,2019-01-13,826.7,334840,60,44467,Celebrity,1,2086,56601,2,25040,0,8059,12,0,66,854080,455026,421927,66,66
61,1242,54831232798,2019-01-13,810.5,4160457,61,2747,Celebrity,1,358,75646,1,16,0,59721,178,0,141,39624863,4302758,4243021,320,313
62,1108,76727438858,2019-01-13,808.5,840229,62,13595,Celebrity,1,1290,36389,1,0,0,0,18,0,349,7146722,1238080,1238080,145,145
63,980,65427261938,2019-01-13,806.5,623868,63,31995,Celebrity,1,829,51206,1,0,401183,0,10,24,4,2886699,714444,714444,23,23
64,1111,62723822455,2019-01-13,805.4,3728094,64,14198,Celebrity,1,102,16255,1,0,1301375,0,163,1,1124,22645910,4023952,4023952,100,99
65,503,107857327844,2019-01-13,799.5,206109,65,31589,Celebrity,1,17014,43877,1,0,0,9,21,0,192,1906992,605179,605170,97,97
66,1170,64860032463,2019-01-13,787.7,1339394,66,13246,Celebrity,1,192,24169,1,27,283,3480,213,2,1782,5894494,1403657,1400150,79,77
67,740,57341342928,2019-01-13,784.7,6344488,67,9427,Celebrity,1,25,16069,1,9432,2943061,175067,21,9,25,23671601,7501937,7317438,86,81
68,650,57820992345,2019-01-13,779.4,1499838,68,3274,Celebrity,1,423,87061,1,246335,0,51097,86,0,329,8185108,1790055,1492623,143,137
69,681,94714462260,2019-01-13,776.3,399613,69,15254,Celebrity,1,765,63503,1,0,0,0,70,0,266,4763916,555377,555377,51,51
70,728,67778360919,2019-01-13,775.4,1658878,70,4855,Celebrity,1,240,25826,1,0,8388,0,84,3,918,10824301,1984694,1984694,114,114
71,1272,101304007641,2019-01-13,773.7,682763,71,7371,Celebrity,1,399,37339,2,0,0,15542,8,0,115,8465120,959568,944026,164,82
72,726,105127303767,2019-01-13,758.8,193331,72,13857,Celebrity,1,1175,31244,9,0,0,0,41,0,107,1683447,254228,254228,267,225
73,1294,58568372874,2019-01-13,757.2,1680568,73,2036,Celebrity,1,147,14211,1,0,0,0,159,0,137,17408587,2048736,2048736,104,104
74,110,58606732874,2019-01-13,756.9,1376799,74,2323,Celebrity,1,1134,8673,1,0,0,0,112,0,9787,10598190,1462978,1462978,196,191
75,181,57360400587,2019-01-13,756.6,1469536,75,50940,Celebrity,0,37,6727,1,12,0,14829,22,0,83,6458629,1595302,1580461,124,124
76,188,101678191425,2019-01-13,751.0,1478400,76,11320,Celebrity,0,123,4424,1,0,0,0,20,0,268,12219132,1572145,1572145,187,187
77,530,75865339382,2019-01-13,750.7,3947583,77,2214,Celebrity,0,40,16213,1,0,1119135,0,22,6,119,11474139,4018784,4018784,120,120
78,93,92277005686,2019-01-13,750.3,1319198,78,29616,Celebrity,0,101,3119,1,591397,0,40627,16,0,189,8934188,1988516,1356492,202,197
79,6588,63614872156,2019-01-13,750.1,2078265,79,880,Celebrity,0,66,20592,1,0,0,0,123,0,64,13882606,2091667,2091667,282,281
80,269,73756717954,2019-01-13,749.3,1364743,80,3099,Celebrity,0,306,7880,2,0,0,356,11,0,617,8072305,1379252,1378896,199,183
81,776,61632910389,2019-01-13,748.5,462869,81,1333,Celebrity,0,1507,22076,5,318379,0,2411771,5,0,45,3032873,3210794,480644,425,414
82,173,52384870655,2019-01-13,746.7,919188,82,218132,Celebrity,0,13,4087,1,472302,0,24852,25,0,678,4218774,1642336,1145182,53,53
83,438,106690261130,2019-01-13,745.4,723964,83,27770,Celebrity,0,57,9387,1,0,0,0,5,0,126,13715471,1841771,1841771,53,43
84,1477,55923270292,2019-01-13,744.0,1305625,84,385,Celebrity,0,428,23228,1,0,0,0,5,0,294,10841385,1310698,1310698,165,165
85,127,71108353695,2019-01-13,736.9,104694,85,12043,Celebrity,0,4481,13162,4,0,0,0,373,0,875,624374,145437,145437,239,237
86,750,59627967653,2019-01-13,733.9,1931951,86,1236,Celebrity,0,75,11628,1,34,1271,17695,51,3,104,10948974,1935530,1917801,204,204
